model_name,val_loss_mean,val_accuracy_mean,val_loss_std,val_accuracy_std

Easy_Model,0.4132129728794098,0.8587750017642974,0.01160876856145073,0.0046520677404155485

Easy_Model_2,0.4162165462970734,0.8554499983787537,0.013607217632428758,0.008160810704875269

Easy_Model_3,0.4392779052257538,0.8453416705131531,0.008546939325881962,0.005314735731153457

Easy_Model_4,0.4369723916053772,0.8464666604995728,0.01571430404469377,0.008349922013590524

Easy_Model_5,0.4641515463590622,0.8312750041484833,0.025915603334309,0.01144613900621263

